"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 05 11:28:25 UTC 2026","Mon Jan 05 11:29:45 UTC 2026","79168","test.spec","test_settings","","","","test_set_invalid_electrum_url[False]","Test setting an invalid electrum URL

    Tests that when a user:
    1. Navigates to settings
    2. Attempts to set an invalid electrum URL
    3. The system shows appropriate error message
    "
"passed","Mon Jan 05 11:16:05 UTC 2026","Mon Jan 05 11:20:48 UTC 2026","283358","test.spec","test_refresh_transfer","","","","test_refresh_transfer","Test for refresh transfer"
"passed","Mon Jan 05 11:16:17 UTC 2026","Mon Jan 05 11:20:56 UTC 2026","279023","test.spec","test_ask_auth_for_imp_operations","","","","test_ask_auth_for_imp_question_send_bitcoin_on","Test for hiding exhausted asset"
"passed","Mon Jan 05 11:15:49 UTC 2026","Mon Jan 05 11:17:06 UTC 2026","77592","test.spec","test_issue_nia_asset","","","","test_issue_nia_without_sufficient_sats[False]","
    Test nia asset issuance without sufficient sats.
    "
"passed","Mon Jan 05 11:16:09 UTC 2026","Mon Jan 05 11:20:36 UTC 2026","267129","test.spec","test_hide_exhausted_asset","","","","test_hide_exhausted_asset_on","Test for hiding exhausted asset"
"passed","Mon Jan 05 11:16:20 UTC 2026","Mon Jan 05 11:17:43 UTC 2026","82877","test.spec","test_about","","","","test_node_info[False]","Test asserting node info"
"passed","Mon Jan 05 11:21:36 UTC 2026","Mon Jan 05 11:23:02 UTC 2026","86693","test.spec","test_ask_auth_for_imp_operations","","","","test_ask_auth_for_imp_question_send_nia_on","Sending NIA asset with ask auth for important operations on"
"passed","Mon Jan 05 11:18:26 UTC 2026","Mon Jan 05 11:21:18 UTC 2026","171363","test.spec","test_receive_and_send_bitcoin","","","","test_receive_and_send_bitcoin","Test receiving and sending bitcoin."
"passed","Mon Jan 05 11:19:40 UTC 2026","Mon Jan 05 11:21:07 UTC 2026","87526","test.spec","test_send_and_receive_cfa_asset","","","","test_send_and_receive_cfa_asset_operation","Test send and receive operation for cfa asset"
"passed","Mon Jan 05 11:28:37 UTC 2026","Mon Jan 05 11:29:30 UTC 2026","52923","test.spec","test_ask_auth_for_imp_operations","","","","test_ask_auth_for_imp_question_issue_nia_off","Issuing NIA asset with ask auth for important operations off"
"passed","Mon Jan 05 11:19:19 UTC 2026","Mon Jan 05 11:20:30 UTC 2026","70667","test.spec","test_issue_cfa_asset","","","","test_issue_cfa_with_sufficient_sats_and_utxo[False]","
    Test issuing cfa asset with sufficient sats and utxo.
    "
"passed","Mon Jan 05 11:33:21 UTC 2026","Mon Jan 05 11:35:04 UTC 2026","103301","test.spec","test_settings","","","","test_set_valid_electrum_url[False]","Test setting a valid electrum URL

    Tests that a user can:
    1. Navigate to settings
    2. Set a valid electrum URL
    3. Verify the URL is saved correctly
    "
"passed","Mon Jan 05 11:26:17 UTC 2026","Mon Jan 05 11:29:19 UTC 2026","181818","test.spec","test_backup_and_restore","","","","test_restore","
    This test case is used to restore the wallet from the backup.
    "
"passed","Mon Jan 05 11:18:05 UTC 2026","Mon Jan 05 11:18:09 UTC 2026","4469","test.spec","test_about","","","","test_rgb_proxy_info[False]","Test asserting RGB proxy info"
"passed","Mon Jan 05 11:16:52 UTC 2026","Mon Jan 05 11:17:04 UTC 2026","12308","test.spec","test_login_app_auth","","","","test_login_app_with_authentication[False]","
    Test the login app with authentication functionality.

    This test case types the login password, asserts the state of the toggle button,
    toggles it to off, and types the login password again.

    Args:
        test_environment: The test environment setup.
        wallets_and_operations: The wallets and operations setup.

    Returns:
        None
    "
"passed","Mon Jan 05 11:17:35 UTC 2026","Mon Jan 05 11:19:17 UTC 2026","101946","test.spec","test_issue_cfa_asset","","","","test_issue_cfa_with_sufficient_sats_and_no_utxo[False]","
    Test issuing cfa asset with sufficient sats but no utxo.
    "
"passed","Mon Jan 05 11:18:32 UTC 2026","Mon Jan 05 11:19:18 UTC 2026","45647","test.spec","test_issue_nia_asset","","","","test_issue_nia_with_sufficient_sats_and_utxo[False]","
    Test nia asset issuance with sufficient sats and utxo.
    "
"passed","Mon Jan 05 11:20:18 UTC 2026","Mon Jan 05 11:22:02 UTC 2026","103633","test.spec","test_send_and_receive_nia_asset","","","","test_send_and_receive_nia_asset_operation","Test send and receive operation for nia asset"
"passed","Mon Jan 05 11:16:13 UTC 2026","Mon Jan 05 11:22:08 UTC 2026","355174","test.spec","test_btc_channel_tx","","","","test_send_and_receive_with_correct_invoice_for_btc","
    Test sending and receiving with correct invoice.

    This test case creates embedded wallets, funds them, gets the node URI, creates a channel,
    creates an invoice, sends the asset with the invoice, and verifies the success message.

    Args:
        wallets_and_operations (tuple): A tuple containing the page features, objects, and operations for the first and second applications.

    Returns:
        None
    "
"passed","Mon Jan 05 11:25:58 UTC 2026","Mon Jan 05 11:28:35 UTC 2026","156706","test.spec","test_ask_auth_for_imp_operations","","","","test_ask_auth_for_imp_question_send_bitcoin_off","test native auth for important operations (send btc) off"
"passed","Mon Jan 05 11:17:45 UTC 2026","Mon Jan 05 11:17:50 UTC 2026","4372","test.spec","test_about","","","","test_bitcoind_host_info[False]","Test asserting bitcoind host info"
"passed","Mon Jan 05 11:18:34 UTC 2026","Mon Jan 05 11:25:23 UTC 2026","408930","test.spec","test_nia_channel_tx","","","","test_send_and_receive_with_correct_invoice_for_nia","Test sending and receiving with correct invoice for NIA"
"passed","Mon Jan 05 11:17:52 UTC 2026","Mon Jan 05 11:17:56 UTC 2026","4414","test.spec","test_about","","","","test_bitcoind_port_info[False]","Test asserting bitcoind port info"
"passed","Mon Jan 05 11:27:09 UTC 2026","Mon Jan 05 11:28:23 UTC 2026","74106","test.spec","test_settings","","","","test_set_invalid_bitcoind_port[False]","Test setting an invalid bitcoind port

    Tests that when a user:
    1. Navigates to settings
    2. Attempts to set an invalid bitcoind port
    3. The system shows appropriate error message
    "
"passed","Mon Jan 05 11:16:19 UTC 2026","Mon Jan 05 11:18:24 UTC 2026","125383","test.spec","test_receive_and_send_bitcoin","","","","test_send_bitcoin_with_zero_balance","Test sending bitcoin with zero balance."
"passed","Mon Jan 05 11:25:25 UTC 2026","Mon Jan 05 11:26:03 UTC 2026","38806","test.spec","test_nia_channel_tx","","","","test_create_wrong_amount_invoice","
    Test case to create wrong ln invoice with insufficient amount
    "
"passed","Mon Jan 05 11:22:50 UTC 2026","Mon Jan 05 11:23:39 UTC 2026","49522","test.spec","test_settings","","","","test_set_default_min_confirmation[False]","Test for setting default minimum confirmation"
"passed","Mon Jan 05 11:33:18 UTC 2026","Mon Jan 05 11:35:54 UTC 2026","156193","test.spec","test_ask_auth_for_imp_operations","","","","test_ask_auth_for_imp_question_send_cfa_off","Sending CFA asset with ask auth for important operations off"
"passed","Mon Jan 05 11:19:34 UTC 2026","Mon Jan 05 11:21:07 UTC 2026","92147","test.spec","test_settings","","","","test_default_expiry_time_hour[False]","
    Test setting a default expiry time in hours for lightning invoices.

    Tests that a user can:
    1. Navigate to settings
    2. Set a new default expiry time in hours
    3. Verify the expiry time is saved and applied
    "
"passed","Mon Jan 05 11:16:10 UTC 2026","Mon Jan 05 11:19:56 UTC 2026","225268","test.spec","test_backup_and_restore","","","","test_mnemonic_and_backup_configure","
    Test the mnemonic and backup configuration functionality.
    This test case covers the following scenarios:
    - Create a embedded wallet
    - Copy mnemonic from setting page
    - Assert copied mnemonic with backup page mnemonic
    - Verify the backup configuration functionality
    :param wallets_and_operations: WalletTestSetup instance
    :return: None
    "
"passed","Mon Jan 05 11:23:31 UTC 2026","Mon Jan 05 11:26:15 UTC 2026","164704","test.spec","test_backup_and_restore","","","","test_backup","
    Test the backup page functionality.
    This test case covers the following scenarios:
    - Create a embedded wallet
    - Configure backup
    - Take a backup of wallet
    "
"passed","Mon Jan 05 11:25:54 UTC 2026","Mon Jan 05 11:27:07 UTC 2026","73344","test.spec","test_settings","","","","test_set_invalid_bitcoind_host[False]","Test setting an invalid bitcoind host

    Tests that when a user:
    1. Navigates to settings
    2. Attempts to set an invalid bitcoind host
    3. The system shows appropriate error message
    "
"passed","Mon Jan 05 11:20:38 UTC 2026","Mon Jan 05 11:21:13 UTC 2026","34377","test.spec","test_hide_exhausted_asset","","","","test_hide_exhausted_asset_off","Test for hiding exhausted asset"
"passed","Mon Jan 05 11:15:31 UTC 2026","Mon Jan 05 11:19:38 UTC 2026","247121","test.spec","test_send_and_receive_cfa_asset","","","","test_send_cfa_with_expired_invoice","Test send cfa asset with expired invoice"
"passed","Mon Jan 05 11:16:02 UTC 2026","Mon Jan 05 11:17:47 UTC 2026","105197","test.spec","test_help","","","","test_help_page[False]","Test help page"
"passed","Mon Jan 05 11:23:04 UTC 2026","Mon Jan 05 11:24:03 UTC 2026","58563","test.spec","test_ask_auth_for_imp_operations","","","","test_ask_auth_for_imp_question_issue_cfa_on","Issuing CFA asset with ask auth for important operations on"
"passed","Mon Jan 05 11:24:47 UTC 2026","Mon Jan 05 11:25:52 UTC 2026","64837","test.spec","test_settings","","","","test_set_announce_alias[False]","Test setting an announce alias

    Tests that a user can:
    1. Navigate to settings
    2. Set an announce alias
    3. Verify the alias is saved correctly
    "
"passed","Mon Jan 05 11:15:57 UTC 2026","Mon Jan 05 11:18:08 UTC 2026","131275","test.spec","test_settings","","","","test_set_default_fee_rate[False]","Test setting a default fee rate

    Tests that a user can:
    1. Navigate to settings
    2. Set a new default fee rate
    3. Verify the fee rate is saved and applied
    "
"passed","Mon Jan 05 11:24:08 UTC 2026","Mon Jan 05 11:25:05 UTC 2026","56852","test.spec","test_receive_and_send_bitcoin","","","","test_send_bitcoin_with_invalid_invoice","Test sending bitcoin with an invalid invoice."
"passed","Mon Jan 05 11:16:28 UTC 2026","Mon Jan 05 11:20:16 UTC 2026","228250","test.spec","test_send_and_receive_nia_asset","","","","test_send_nia_with_expired_invoice","Test send nia asset with expired invoice"
"passed","Mon Jan 05 11:16:01 UTC 2026","Mon Jan 05 11:18:24 UTC 2026","142696","test.spec","test_fail_transfer","","","","test_fail_transfer[False]","Test for fail transfer"
"passed","Mon Jan 05 11:24:05 UTC 2026","Mon Jan 05 11:25:56 UTC 2026","111276","test.spec","test_ask_auth_for_imp_operations","","","","test_ask_auth_for_imp_question_send_cfa_on","Sending CFA asset with ask auth for important operations on"
"passed","Mon Jan 05 11:21:56 UTC 2026","Mon Jan 05 11:22:39 UTC 2026","42043","test.spec","test_create_and_close_channel","","","","test_create_channel_with_wrong_node_uri","
    Test the creation of a channel with a wrong node URI.
    "
"passed","Mon Jan 05 11:19:31 UTC 2026","Mon Jan 05 11:20:31 UTC 2026","60441","test.spec","test_about","","","","test_announce_alias_info[False]","Test asserting announce alias info"
"passed","Mon Jan 05 11:31:43 UTC 2026","Mon Jan 05 11:33:19 UTC 2026","96369","test.spec","test_settings","","","","test_set_invalid_rgb_proxy_url[False]","Test setting an invalid RGB proxy URL

    Tests that when a user:
    1. Navigates to settings
    2. Attempts to set an invalid RGB proxy URL
    3. The system shows appropriate error message
    "
"passed","Mon Jan 05 11:21:20 UTC 2026","Mon Jan 05 11:24:06 UTC 2026","166463","test.spec","test_receive_and_send_bitcoin","","","","test_send_bitcoin_with_custom_fee_rate","Test sending bitcoin with a custom fee rate."
"passed","Mon Jan 05 11:15:48 UTC 2026","Mon Jan 05 11:16:50 UTC 2026","62216","test.spec","test_login_app_auth","","","","test_login_app_toggle_button_on[False]","
    Test the login app toggle button functionality.

    This test case creates first wallet,
    toggles the login app auth button to on, and restarts the application.

    Args:
        test_environment: The test environment setup.
        wallets_and_operations: The wallets and operations setup.

    Returns:
        None
    "
"passed","Mon Jan 05 11:16:11 UTC 2026","Mon Jan 05 11:21:54 UTC 2026","343559","test.spec","test_create_and_close_channel","","","","test_create_channel_with_actual_value","Test creating channel with actual value."
"passed","Mon Jan 05 11:18:10 UTC 2026","Mon Jan 05 11:19:32 UTC 2026","82469","test.spec","test_settings","","","","test_default_expiry_time_minute[False]","
    Test setting a default expiry time in minutes for lightning invoices.

    Tests that a user can:
    1. Navigate to settings
    2. Set a new default expiry time in minutes
    3. Verify the expiry time is saved and applied
    "
"passed","Mon Jan 05 11:16:49 UTC 2026","Mon Jan 05 11:17:59 UTC 2026","69595","test.spec","test_keyring_dialog","","","","test_keyring_dialog[False]","
    Test the keyring dialog functionality by restarting the application within the same test.

    :param test_environment: The test environment fixture.
    :param wallets_and_operations: The wallets and operations fixture.
    "
"passed","Mon Jan 05 11:29:21 UTC 2026","Mon Jan 05 11:30:06 UTC 2026","45359","test.spec","test_backup_and_restore","","","","test_restore_asset","
    This test case is used to restore the wallet from the backup.
    "
"passed","Mon Jan 05 11:15:56 UTC 2026","Mon Jan 05 11:17:33 UTC 2026","97055","test.spec","test_issue_cfa_asset","","","","test_issue_cfa_without_sufficient_sats[False]","
    Test issuing cfa asset without sufficient sats.
    "
"passed","Mon Jan 05 11:31:44 UTC 2026","Mon Jan 05 11:33:16 UTC 2026","91869","test.spec","test_ask_auth_for_imp_operations","","","","test_ask_auth_for_imp_question_issue_cfa_off","Issuing NIA asset with ask auth for important operations off"
"passed","Mon Jan 05 11:16:21 UTC 2026","Mon Jan 05 11:18:11 UTC 2026","109527","test.spec","test_view_unspent","","","","test_view_unspent_list[False]","
    Test view unspent list.
    "
"passed","Mon Jan 05 11:17:58 UTC 2026","Mon Jan 05 11:18:03 UTC 2026","4431","test.spec","test_about","","","","test_indexer_info[False]","Test asserting indexer info"
